sentences,sentiment
National level competition are encouraged too this time,1
Staff is not supportive,-1
Good,1
Bad,-1
Good,1
Not available,0
Not available,0
Staff is not good but equipments are availble,-1
Staff is not good,-1
the staff is not supportive,-1
The teacher is very lazy,-1
not Well organised and not support,-1
not Very clear and up to date,-1
good,1
not in priority,0
"The balance between lectures, exercises and support material is not right",1
same as compare to study,0
not provided,0
same priority as study,0
sports in top ,1
always in top,1
not supported,-1
always in thinking,0
always in demand,-1
games at top,1
Not suportive,0
Staff is average,0
All equipmemts are not available,0
Noy always present,0
Poor communication,-1
No extracurricular activities ,-1
No extra activities ,-1
No teachers for that,-1
No extracurricular activities ,-1
No extra curricular activities,-1
Ok ok,1
Ground needs some improvement ,1
 Needs some attention ,0
No one is serious about it,-1
Need a good teacher,1
Requirement of some necessary asset's ,0
Poor condition of ground,-1
Extra classes are not available,0
Teachers should be informed about it,0
Swimming pool required,0
Fitness club is not available,1
Football club should be included,0
Fitness equipments requires,1
Ground condition is poor,-1
No gaming equipments,-1
Ground needs some attention,0
Teacher needs some attention,0
Okay okay,1
Require more equipments ,0
Teacher is good but not that much educated,1
All is good but no swimming pool,-1
Except fitness club all is there,1
All is there except indoor games,0
All is well except fitness equipments,1
Everything is fine except ground condition,1
Ground is in best condition but no gaming equipments,-1
No proper timing,-1
Contents of the course can be provided still. ,0
More number of e- resources should be increased,1
Faculty teaches well but should be punctual,1
Systems are not working properly,0
Voice levels of the faculty is low,-1
Boring class,-1
Books in the library is not in good condition,-1
Jntuk syllabus is not well structuted,-1
Power issues always in the lab,0
Fans and ACs won't work in the library,0
Still library facilities can be improvized,0
Faculty comes to class on time and teaches the contents well,1
Lab programmers behaviour with students should be professional ,0
R20 regulation course contents are good,1
They could include more real time applications in course contents,0
Good course contents,1
Lab facilities are upto mark,0
Faculty is superbbb,0
The faculty is very good ,1
The faculty is good ,1
Faculty is good ,1
Good ,1
Awesome,1
Good,1
Its good,1
Average,0
Positive,1
Its better,1
Negative,-1
It's good,1
Its average,0
The courses are very interesting and taught by excellent faculty. ,1
Not bad,1
Positive ,1
Excellent,1
Negative ,-1
The course content provided is excellent and the content is more useful ,1
Good,1
"The teaching is excellent and the faculty is very friendly towards to student,explains well",1
Subject faculty teaching with real time examples ,0
Very much satisfied ,1
"The lab facility is awesome, there is no disturbance in lab and the lab environment is very nice",1
Good facility overall,1
It is good,1
It is bad,-1
Not that satisfied probably ,-1
"The library infrastructure is excellent, all the books are available ",1
Lab facilities are nice. ,1
It is average,0
Extraordinary provisions ,0
Average,0
Subject faculty will be highly,0
Fine,1
Bad,-1
Good ,1
Good ,1
Good,1
Good,1
Bad,-1
Average,0
Library infrastructure is not bad. ,1
Good,1
Good ,1
Bad,-1
Good,1
Library infrastructure is not bad,1
Good,1
Average,0
Not bad,1
Not good,-1
Good ,1
Average ,0
Excellent ,1
Understanding ,0
Everything is ok. The courses are useful. ,1
Good,1
Average ,0
Very good,1
Good,1
Excellent,1
It is good ,1
Poor,-1
Average,0
Everything was good and it is very helpful,1
It is average ,0
It is bad,-1
It is excellent ,1
"Excellent,good,poor, average ",0
Library doesn't contain  sufficient books,0
Everything good but not as best,-1
The course content was amazing ,1
"Good, excellent, average,poor",1
It is good ,1
The course was good ,1
It is good,1
"Average, good, excellent,poor",1
It is average ,0
Lab faculty is not responding for doubts ,1
It is bad,-1
The course was not effective ,-1
Good,1
All are good,1
It is alright ,1
"It is very good , perfect and excellent",1
Average,0
Good ,1
Sometimes labs are Messy remaining all are good ,1
It is very bad,-1
It is very average,0
course content is really helpfull to gain more knownledge.,1
Lab facilities is not good improve facilities ,-1
Good,1
Simply good ,1
Excellent,1
Good,1
Average,0
Bad,-1
Good,1
Good,1
faculty teaching is very understandable and real time examples are giving to try to know about that subject,1
Bad,-1
It is good,1
Average,0
Good,1
It is average ,0
It is bad,-1
Good,1
It is more than average ,0
All Good,1
Very Good,1
Subject faculty should improve their knowledge ,1
"lab is really very usefull for us ,we are getting practical knownledge for more understanding.",0
All Good,1
not bad,1
"Excellent, if mam doesn't know something she will learn and later teaches us",1
Good,1
The syllabus is up to the mark.,0
Good ,1
Good,1
Good ,1
"Good, clarifies  doubts at any time ",1
Excellent ,1
Good,1
Very helpful Java course for students ,1
Good,1
Excellent ,1
Average ,0
Good ,1
It is very good ,1
Good,1
Good,1
It is average ,0
Giving good course content ,1
Excellent ,1
Super ,1
It is bad,-1
Subject Faculty is to improve knowledge on the course,1
Good ,1
It is good,1
Good ,1
Good,1
The lab facility is too good ,1
library is really useful for us to gain out of syllabus concepts in the specific subject.,1
Very interesting course ,1
All are very good in library infrastructure and and very good in faculty teaching ,1
Faculty teaching is very good their is no problem in faculty teaching ,1
Good ,1
Excellent ,1
Good,1
Course is not up to the mark,0
Excellent ,1
Excellent ,1
Lab faculty teaching very well giving good instructions ,1
Subject Faculty teaching is extra ordinary ,0
Good,1
Average ,0
Lab Facility is not good ,-1
Library infrastructure is very good ,1
Good,1
Good,1
Library Infrastructure is too good ,1
Java is very useful and in future it rules the software industry,1
Our faculty teaches more about the java and it will help us in our future,1
Good lab facility in my college ,1
Good,1
It's good ,1
It's avg,0
Labs are also very facilitate and we can work more programs in it,0
They need to improve ,1
Good,1
Good,1
Good,1
It's bad,-1
Good ,1
Infracture of library is good and there is more information about all the subjects and also more general knowledge books are also available,1
Good,1
Average,0
Overall experience was satisfiable ,1
Bad,-1
It is good,1
It didnt reach upto mark,0
It is excellent ,1
It is average,0
It is good,1
Good. We want better clarity in poc.,1
Good,1
Good,1
Poc - not understanding the explanation of sir ,0
Good,1
Good,1
It is good,1
It is excellent ,1
Good,1
Good,1
It is outstanding ,1
It is average ,0
Good course and we have very good faculty to teach us and the lab is average and the library is almost excellent ,1
They are highly skilled and course content is very useful,1
It is good ,1
Subject faculty teaching,0
It is average ,0
It is good ,1
It is average ,0
Good,1
Good,1
Good,1
Good,1
Good,1
Good,1
Good ,1
Good,1
Better ,1
The course content is practical with real life examples. ,0
Average ,0
Bad,-1
Good,1
Average,0
Bad teaching ,-1
Good,1
Lab explanation  was not good,-1
Teaching faculty is very excellent,1
positive ,1
Library infrastructure is better,1
Good,1
Good,1
Good,1
Good,1
We understand the topics clearly.,1
Too worst the library infrastructure,-1
It would be great more examples were provided ,1
Good,1
Average,0
Couse content can be improved. ,1
Excellent ,1
It's bad,-1
Nice ,1
Good,1
Bad,-1
Average ,0
Good,1
Average,0
Bad,-1
Super,1
Application based teaching is great. ,1
Good,1
The course was super and excellent very interesting ,1
It is good ,1
Good,1
It is average ,0
Good,1
The lab facilities was very Average ,0
Good ,1
Good,1
Bad,-1
Good,1
Average ,0
The are not clear in subject teaching ,-1
Good,1
Excellent ,1
Good ,1
It is good ,1
It is good ,1
Good ,1
Good,1
Good ,1
Good,1
Good,1
Teaching would be better if more examples were provided. ,1
Good,1
It is really good,1
It is average,0
Teaching could be improved,1
Lab facilities are top notch,1
It is bad ,-1
Good,1
Good,1
It is just ok,1
Average,0
Lab facilities could be better. ,1
Average,0
Poor,-1
Excellent ,1
Better ,1
Lab facilities are not up to the mark. ,0
Very good,1
excellent ,1
Average ,0
It's Good to understand the subject,1
Not bad,1
Worst ,-1
Technical course helps a lot to understand the concepts which are related to computers ,1
Good ,1
Library infrastructure is excellent. ,1
It's better to improve the faculty skills,1
It's average,0
Library infrastructure could be better. ,1
Good ,1
Good,1
Good ,1
Good ,1
Avg,0
Good ,1
Library infrastructure is not up to the mark. ,0
Super ,1
Worst,-1
Not bad,1
Better,1
Subject faculty is good they clarify our doubts which are related to subject ,1
It's good,1
It's average,0
Teaching,0
It's bad,-1
Lab facility  - good,1
It's excellent,1
Library infrastructure need to improve ,1
Subject faculty teaching is not proper,0
Good ,1
Lab facilities are good.To improve my knowledge practically Labs are very useful ,1
Good ,1
Good ,1
Good ,1
Course content is up to the mark,0
We have faculty has more content in subject,0
Teaching faculty is explaining with general examples ,0
Good ,1
Teaching is up to the mark,0
"There are lots of books in our library like subject related, motivational books , entrance exam like gate, great etc.. library books help us to understand the concept clearly ",1
Good ,1
Good,1
It is good,1
Better ,1
Good ,1
Bad,-1
It os bad,-1
Average ,0
Good,1
Average,0
It is average,0
Lab facilities is good but want se more,1
Ok,1
Excellent ,1
Bad,-1
Faculty can teach the subject in prograsive way,0
Not better,-1
Good,1
Lab facilities is not good and bearable,-1
Better,1
Average ,0
Average ,0
Good,1
Bad,-1
Nice,1
Good library infrastructure,1
Not bad,1
It is better,1
Average ,0
We have full lab facility,0
Worst ,-1
It's average ,0
Need more infrastructure in library ,0
Good ,1
Good,1
Need more facilities in labs also,0
Good,1
Bad,-1
Good ,1
Good,1
Average,0
Not bad ,1
Good,1
Average ,0
Very good ,1
Poor ,-1
Teaching of faculty is up to the mark we can't understand easily,-1
It's awsome,0
Good,1
Good ,1
Teaches in day to day examples ,0
Good,1
Good,1
Good,1
Library is very useful to read what kind of content which is useful in my exams,1
"DBMS, JAVA, FLAT, MEFA, p AND s also good subjects",1
Average,0
Needed better and more infrastructure facilities ,1
It is average ,0
It is good ,1
Average,0
It is bad,-1
It is above average ,0
"Overall all faculty, they were at good teaching our subjects",1
We can understand subject some what,0
All labs are good ,1
They can teach professor level like teachers in university ,1
It is upto the mark with sufficient examples,0
Nice infrastructure in our library ,1
We have so more instruments are there which is useful in my external 3xams,1
It's very good ,1
It is not upto the mark ,0
We have some books like freedom fighters ,1
"The course content is really good, it is very understandable.",1
Good,1
Very poor,-1
Its kk about library infrastructure ,1
The faculty teaching is just ok average but can understand without any problem.,1
Moderate,0
Good ,1
We have some instruments in my lab,0
Bad ,-1
Lab faculty are very good ,1
Very well teaching,1
Good,1
Average ,0
Teaching is very good understandable,1
Very bad facility,-1
Very good library intrastructure,1
Course content is good ,1
It is good,1
"The lab facilities that are provided are not at all useful the computers don't work properly , everytime we have to beat the box to make them start, it is really bad.",-1
This all are not upto the mark ,0
Very bad course content,-1
It is average,0
Infrastructure is so good ,1
Need some more resources ,0
All are fantastic ,1
The library Infrastructure is good provided with every book that is needed and with nice furniture present.,1
Upto the mark,0
It is good,1
It's fine,1
Need to improve ,1
Excellent ,1
Not bad,1
Average ,0
It's nice,1
Not bad,1
Better,1
Good,1
The course content delivered was excellent and  very helpful while doing coding. ,1
Average,0
Very interesting to listen to there teaching ,1
Good,1
Bad,-1
Good,1
Average,0
Average ,0
Above average ,0
Average,0
Good faculty ,1
Above average ,0
Nice,1
The faculty was very friendly. She is clarifying the doubts very neatly. She is also explaining some helpful competitive programming codes in class. ,1
Good,1
Good ,1
Average ,0
Good teaching ,1
Average ,0
By giving more examples ,1
Excellent facilities in lab ,1
Better ,1
Lab facility going friendly with us ,1
Good ,1
Lab requirements are too good,1
Can do even better ,1
Subject faculty coordination is good,1
Not there upto the mark ,0
Good,1
Library infrastructure well and nice,1
Need to explain with more examples ,0
Subject doubt clarification is awesome ,1
Teaching required more examples ,0
Lab knowledge is awesome  ,1
Faculty is doing well,1
Teaching faculty awesome ,1
Library availablility good,1
It is ok,1
It is not good,-1
It is not okay,-1
Library is peaceful and nice,1
Syllabus is not going well,-1
Good,1
Average,0
Good,1
Bad,-1
Labs are very clean and good,1
Good,1
Better,1
Good ,1
Perfect,1
Average ,0
Good ,1
Course Content Is Good. Which fulfills current Industry Requirements ,1
Not bad,1
It is very useful ,1
Nice,1
Subject Delivered By Faculty Is Good ,1
Good faculty,1
Lab Facilities Are Average Need To Do Some Improvements ,1
Lab facility provided is awesome. The network is good and the systems are working perfectly,1
Excellent faculty ,1
Really good,1
Good,1
a number of links to e-resources are given,1
a lot of resources are available,0
sufficient number of books are availlable,1
sufficient books are available ,0
sufficient books are not available,0
there are many books but are not of high quality,0
we did not see books at all,0
books are of high content ,0
books are available and sufficient,0
books are available but not of expected quality,0
books contained elaborated content and very useful for further exploration,1
books should be of more standard,0
books are of high content ,0
books are available and sufficient,0
books are available but not of expected quality,0
books contained elaborated content and very useful for further exploration,1
books are not given for study,0
books are not enough,0
more books can be provided,0
there are many books but are not of high quality,0
we did not see books at all,0
books are of high content ,0
sufficient number of books are availlable,1
there are many books but are not of high quality,0
we did not see books at all,0
books are of high content ,0
books are available and sufficient,0
books are available but not of expected quality,0
books contained elaborated content and very useful for further exploration,1
books should be of more standard,0
books are of high content ,0
books are available and sufficient,0
we did not see books at all,0
book quality is poor,-1
books quantity is high,0
books quality is high,0
books quality is not good,-1
there are many books but are not of high quality,0
sufficient books are available ,0
we did not see books at all,0
sufficient books are not available,0
resources are not available,0
resources are available but are not enough,0
resources are not at all available,0
resources are available in plenty,0
resources are available but are not free,-1
resources are rich and plenty,1
resources are plenty and all of them are useful,1
resources are worst,-1
resources are available in plenty,0
resources are available but are not free,-1
resources are rich and plenty,1
resources are plenty and all of them are useful,1
resources are not available,0
resources are not enough,0
resources are available in plenty,0
a lot of resources are available,0
resources are not available,0
resources are available but are not enough,0
resources are available but are not free,-1
resources are available in plenty,0
resources are available but are not free,-1
resources are rich and plenty,1
resources are plenty and all of them are useful,1
resources are not available,0
resources are not enough,0
resources are available in plenty,0
a lot of resources are available,0
resources are not available,0
resources are available but are not enough,0
e-sources are pleny,0
e-sources are available,0
e-sorces rae not avaiable,0
a lot of resourses are available,0
resources are plenty and all of them are useful,1
resources are rich and plenty,1
resources are rich and plenty,1
resources are available but are not free,-1
resources are available but are not enough,0
resources are available in plenty,0
resources are plenty and all of them are useful,1
resources are not available,0
resources are plenty and all of them are useful,1
resources are not available,0
resources are plenty and all of them are useful,1
a number of links to e-resources are given,1
resouces are not available,0
resources are not available,0
resources are easy to get,1
resources are not easy to access,-1
resources are available,0
e-sources are pleny,0
e-sources are available,0
e-sorces rae not avaiable,0
a lot of resourses are available,0
Good,1
Good,1
Library Infrastructure Is Good Which Helps To learn Subject and Helps to learn New Things,1
The course content is lively and captivating. ,1
Need to improve ,1
Need to improve,1
Required more examples ,0
Required more examples ,0
The library infrastructure is soo good. The surroundings are very pleasant and very convenient to study,1
Need more subject,0
Required more subject,0
Need to improve facilities ,1
Need to improve more facilities in library ,1
Need more equipment ,0
Need more equipment ,0
Need more explanation ,0
Need to more explanation ,0
Need more explanation ,0
Need more equipment ,0
Satisfied with teaching,1
Course content is good which helps to learn new  ,1
Satisfy with teaching ,1
Subject faculty is average need to do some improvement ,1
Java is huge content subject but it's nice to learn ,1
best,1
Lab facilities not good system need not up to mark,-1
Library infrastructure is good which helps in learning subject ,1
Good,1
Not bad,1
Average,0
The course content needs betterment,0
Bad,-1
Good ,1
Bad,-1
Better ,1
Average ,0
The course is moving well. ,1
Course Content Is Average Need to improve ,1
"It's ok we are understanding subject with Java bujji Babu sir teaching 
We don't have Java lab faculty don't take classes in practice lab they don't take classes ",1
Subject Teaching Is Good ,1
"Excellent, so enthusiastic to learn because faculty told content very clearly ",1
It is very useful & helpful content ,1
Labs Are Average Need To Upgrade Systems,0
good,1
Good,1
Course content is not upto the mark ,0
Library Infrastructure is Good which helps to learn more,1
"Excellent,but need some more reference books on programming languages",0
Subject faculty are giving real examples to understand more ,1
It is good ,1
Subject faculty teaching is up to the mark. ,0
It will be more useful by saying still more examples ,1
Library infra is very comfortable ,1
Lab facility is good and labs are also ,1
Faculty teaching needs quite improvement. ,1
good,1
Labs are not good sometimes ,-1
goog,0
average,0
Good,1
good,1
Library infra is very useful and to solve more examples it is very useful,1
Average ,0
It is the best choice ,1
good,1
Good explanation ,1
Yeah...The course was good and the faculty alsoo explain each and every topic very clearly.,1
Worst,-1
Little bit improvement ,1
good,1
Best ,1
There is no time for utilisation,-1
Classes are nlt upto the mark ,0
Subject faculty teaching is on the level. ,0
It will be very useful in java when giving more examples ,1
Lab facilities are provided well. ,1
Lab facilities need to be improved. ,1
I like the course and we know that the subject is vast... sometimes it is even difficult to understand.The faculty was also trying their best.The total entire program was average and wants some improvement.,1
average,0
superb good content,1
bad,-1
Okay good ,1
"The content and trainer ,both are amazing and I liked it",1
worst,-1
Lab facilities are not satisfying.,-1
Lab facility good,1
too bad,-1
Good teaching,1
Faculty teaching asli good,1
Library infrastructure is good. ,1
sir is teaching good we can understand very well,1
too worst,-1
good,1
good,1
Infrastructure can be modified.,0
Teaching is good,1
Good,1
I like the contents of the course but we want live examples more and hands on pratices,1
filthy,0
This subject is so good it is also easy . It depends on how students understanding this topic deeply . This subject is very useful in future also ,1
Subject faculty was good,1
Lab facility-good,0
Everything is fine but it would be better if library include some current regulation books that are required for students ,1
Lab facility is average ,0
Library infrastructure-good,0
Teaching is good clearly explaining about everything  so it will understand easily,1
Good ,1
New books  can be added to the library. ,0
Library infrastructure is good,1
Library is very useful to know about new things books are kowledge us so much thanks for library,1
It is useful ,1
Good,1
Good ,1
Course Content is Good But need to improve,1
Subject teaching is average,0
Labs are average need to upgrade systems,0
Library infrastructure is Good Which helps in learning more,1
The course content is worst. Even the topics are not clear to understand and where it is in the textbook,-1
Content is average ,0
Faculty teaching average,0
Faculty is also too bad. She didn't even know the basic syntax of java. Her explanation is also not clear,-1
Labs are horrible. Those are very dirty and that too some cables are bitten by rats,-1
Library is very small and Conjusted to study and environment is also very worst,-1
Lab facility is good ,1
Good,1
Library infrastructure is average ,0
It is very useful ,1
Course content is bad,-1
Faculty teaching is bad,-1
It was average ,0
Lab facility is bad ,-1
Good,1
Library infrastructure is bad,-1
Average ,0
Good,1
Good ,1
Average ,0
Bad,-1
Good ,1
Super,1
Average,0
Neutral,0
"Content provided is understandable to us, faculty teaching is excellent, lab faculty make students feel comfortable to ask doubts, and library is accessible to every student and",1
The course content is ok but it would be nice if we had extra content related,1
"The teaching of faculty is good, explanation is good",1
"The lab facility provided is average, there is some disturbance during the labs",-1
"The library infrastructure is not too bad, but it would be nice if we have some more books for subject ",1
The course content provided is not at all sufficient for our knowledge ,0
The teaching should be improved ,1
Good,1
Good,1
Good,1
The course content is nice ,1
Good,1
Good,1
"The lab facility provided is very bad, the facilities should be improved ",-1
The faculty teaching is good,1
Library infrastructure is too bad ,-1
The course content provided is more than enough for knowledge acquiring ,0
Lab facility is nice and good maintenance of lab,1
The faculty is teaching is awesome ,1
The lab facility provided is very good. ,1
Good ,1
Library infrastructure is good and organized,1
Average ,0
The library infrastructure is cool and calm,1
Better ,1
The course content is good ,1
It is good,1
It is average ,0
It is bad,-1
It is excellent ,1
Average,0
Good,1
Good ,1
Average ,0
Excellent ,1
Very good ,1
Good,1
Bad,-1
Average ,0
Excellent ,1
Yes it's a good course and they are teaching very  good  regrading the course ,1
The faculty is good and teaches us very well ,1
The lab is bit uncomfortable we need more labs to practice ,-1
Course is very useful,1
The library is good as well and we need more and more books to read on a particular subjects,1
It is good,1
It is bad,-1
Excellent,1
It is Average,0
It's extraordinary,0
Good,1
Good,1
Lab facility is good,1
Good,1
Good,1
Good,1
Everything is good,1
Good,1
K Gayathri ,0
K Gayathri ,0
Subject faculty teaching has to improve ,1
Good 👍 and we are okay to interact with subject faculty ,1
Lab instruments has to improve ,1
Course contents is good,1
Ita good and understandable ,1
The teacher explanation is moderately good,1
The lab facility is good but hoping for more lab hours,1
Able to find all the course subject books in the library ,0
Faculty is explaining so good,1
And want more examples ,1
Super ,1
Wonderful ,1
Excellent ,1
Well understandable teaching ,1
Very good ,1
Good ,1
Excellent books are available ,1
Average ,0
Good but explain one more time from starting concepts ,1
Course content is good,1
Lab facility is nice,1
 faculty teaching is best ,1
Library infrastructure is good,1
Lab,0
GOOD ,1
Library doesn't contain latest books books ,0
Course content,0
Lab facilities is not good,-1
Content is understandable,0
Systems are not working in lab,0
Subject syllabus completed ,0
Teaching excellent,1
It Is Excellent,1
Lab facility full of technical skills,0
It Is Good,1
Available all kind of books,0
It Is Not Bad,1
Highly efficient facaulty,1
It Is Bad,-1
Faculty teaching is very good ,1
worst,-1
Practically  knowledgable lab faculty,0
Highly qualified teachers,0
Teaching is super,1
Faculty was super,1
The course is good,1
too worst,-1
The facility are average ,0
faculty not maintained the class,0
faculty is not good in maintainance,-1
too worst,-1
factulty need to improve to maintain class,1
faculty is not good to maintain,-1
faculty need to control the class,0
bad,-1
faculty not controlled,0
faculty use advanced metedologies to deal with class,1
filthy,0
faculty not maintained the class,0
faculty not controlled,0
faculty deal with the class nice,1
too bad,-1
faculty is passionate ,1
faculty lack communication skills and programming skills,-1
faculty are well versed with topics,1
faculty cannot control class,0
filthy,0
The course is good ,1
The lab facility is good,1
The course is good ,1
worst,-1
The faculty are good,1
Lab Facility ,0
Not satisfied  with the course content.,-1
Faculty  is good and can understand  the concept well.,1
Coding in NetBeans is much better  than in notepad  but lab is good too.,1
Good so far,1
Course content is good but need more improvement in the topics included,1
Faculty is some what better but the explanation is not clear and she is not able to clarify the doubts,-1
Lab facilities are not upto the mark need much improvement in computer network connections,1
Library facilities are ok but the room is soo conjusted and lighting is also not good,-1
Bad,-1
Very bad,-1
"Course content is good, subject teaching faculty was teaching good what they are teaching we learn,we understand should that,lab faculty also same, library infrastructure is also same",1
It is good,1
It is average,0
It is bad,-1
It is excellent,1
Nice ,1
Good ,1
Average ,0
Excellent,1
Library infrastructure is amazing,1
Faculty are very good. ,1
Lab is  good. ,1
Teaching is horrible. I didn't even expect this kind of explanation. The faculty is going very fast. We can't even catch her. Explanation is also not clear. ,-1
There are no words to tell about the content. It is very worst content. It is not even  helpful for placements. The level is very basic. ,-1
Average,0
It is average ,0
It is good,1
It is bad ,-1
It  is good but need more real  time applications .,1
Good,1
Average,0
Average ,0
Good,1
Average ,0
Not clear ,-1
too bad,-1
Excellent ,1
It is good,1
It is average,0
It is bad,-1
It is ok,1
Good,1
too bad,-1
Good,1
filthy,0
Good,1
Good,1
filthy,0
"Java teaching is not good.The syllabus completion also not good.And lots of partiality.
Lab facility and library and everything is good. ",1
It is very helpful for me,1
bad,-1
There should be still more content ,0
too worst,-1
Subject is not up to the mark ,0
Library infrastructure is good,1
bad,-1
Subject faculty must be improved,1
Lab faculty are good,1
Teaching is satisfied ,1
Lab facility is good ,1
filthy,0
Course content of teacher is good and there examples also good and understanding by us,1
lab faculty should improve,1
Infrastructure is not good,-1
Course content is excellent,1
too bad,-1
Library infrastructure is very nice and we have lots of books to read,1
Faculty teaching is good,1
Library is good,1
Faculty is good,1
Course content is good,1
Course content is average,0
Facilities is some better they have improve some books in library ,1
Lab facility is better ,1
In library infrastructure they have to change some books ,0
Teaching is satisified,0
Some Extra equipment is need on labs,0
Course content delivered is sufficient for the students,0
Faculty teaching is insufficient for the placements,0
Labs are ok but need much more improvement ,1
too worst,-1
Library is excellent ,1
faculty has good knowledge,1
faculty should be improve their skills,1
faculty knowledge is good,1
too bad,-1
 knowledge is not that,0
faculty need to imrove more,0
faculty knowledge is not easy to understand,-1
faculty has good knowledge,1
doubts are not dealth properly,-1
doubts are managed and answered,-1
filthy,0
doubts are cleared promptly ,-1
most of the doubts are cleared ,-1
most of the doubts still there,-1
doubts not clarified,-1
doubts are not clarified,-1
faculty must be passionate ,1
knowledge of faculty is excellent,1
knowledge faculty is outstanding,1
faculty knowledge is not in high understand,0
faculty knowledge is not good,-1
knowledge of faculty is excellent,1
faculty has very poor knowledge,-1
knowledge of faculty is excellent,1
faculty has very poor knowledge,-1
faculty knowledge is not good,-1
doubts are still not cleared ,-1
all doubts are cleared ,-1
TOO WORST,-1
Doubts are cleared ,-1
some doubts are cleared well,1
doubts are overruled,-1
All the doubts are clarified with patience,-1
all doubts are cleared ,-1
most of the doubts are cleared ,-1
Doubts are cleared ,-1
faculty is not intrested to take classes,0
faculty delaing is extraordinary,0
TOO WORST,-1
Faculty handles the class with dignity,1
faculty is experinced to control the class,0
faculty cannot control class,0
Lab syllabus is not up to date ,0
lab syllabus is trivial,0
lab syllabus is trivial,0
lab syllabus is trivial not,0
lab syllabus contain advanced topics ,1
TOO BAD,-1
lab syllabus contain advanced topics ,1
lab syllabus is practical and latest,0
lab syllabus is exhaustive and well planned,1
too worst,-1
lab syllabus not up to standard,0
lab syallabus does not contain advanced topics and programs,-1
lab syllabus is not good,-1
lab syllabus is very huge,1
lab syllabus is not completed,0
lab syllabus is not correct,0
FILTHY,0
lab syllabus is trivial,0
bad,-1
lab syllabus not up to standard,0
lab syllabus does not match with industry,0
Lab syllabus is not up to date ,0
Lab syllabus is not practical and does not include latest trends in the industry ,0
lab syllabus not up to standard,0
FILTHY,0
lab syllabus has some advanced topics but others are basic,1
lab syllabus does not match with industry,0
lab syllabus contain advanced topics ,1
filthy,0
lab syallabus does not contain advanced topics and programs,-1
lab syllabus is trivial,0
lab syllabus is exhaustive and well planned,1
exams and assesments are conducted regularly,0
exams test prcatical knowledge rather than memory,0
TOO WORST,-1
exama and assesmenta are trivial,0
exams are taking too much time ,0
exams are really boring and useless,-1
exama are pretty short and simple,1
exams are tough and of high standard,-1
exams are pretty simple ,1
exams are thought provoking ,-1
TOO WORST,-1
exams are maintained at a good standard ,1
exams are good,1
exams are tough ,-1
exams test knowledge ,0
TOO BAD,-1
exams are simple ,0
exams are necessary,0
exams are waste of time,-1
worst,-1
exams are good,1
exams are simple ,0
exams must be conducted upto the mark,0
BAD,-1
exams and assesments are conducted well,1
exams are good,1
less time given for exam,0
inviligators are disturbing the exam,-1
not sufficient  for knowledge checking,0
less time given for exam,0
FILTHY,0
question papers are lengthy,0
inviligators are disturbing the exam,-1
exams are really boring and useless,-1
less time given for exam,0
filthy,0
question papers are lengthy,0
less time given for exam,0
exams are maintained at a good standard ,1
exams are not conducted year wise,-1
exams are easy,1
exams are not maintained that well,-1
Lectures are confusing but simple,-1
Filthy,0
worst,-1
exams are pretty simple ,1
Too worst,-1
exams test prcatical knowledge rather than memory,0
exams are very well maintained,1
Too worst,-1
the exams are conducted properly,0
exams are not conducted year wise,-1
exams conducting in irregular mannaer,0
exams conducting regularly,0
exams are pretty simple. School students can answer them easily.,1
e exams are not conducted,0
exams are not conducted year wise,-1
exams hard to write,-1
BAD,-1
assessments are not conducted properly,0
examsareconducted regularly,0
exams are simple,0
exams are boring,-1
exams are maintained at a good standard ,1
exams are not conducted year wise,-1
exams are easy,1
exams are not maintained that well,-1
Lectures are confusing but simple,-1
exams are taking too much time ,0
exams are pretty simple ,1
exams test prcatical knowledge rather than memory,0
Too worst,-1
exams and assesments are conducted regularly,0
exams test prcatical knowledge rather than memory,0
exama and assesmenta are trivial,0
lab syllabus has state of art research topics,0
The Lab Syllabus is updated for every 6 months based on the present technologies,0
lab syllabus is not designed with beginners in mind ,0
faculty lack communication skills and programming skills,-1
faculty are well versed with topics,1
Filthy,0
faculty cannot control class,0
faculty is passionate ,1
faculty is experinced to control the class,0
faculty is not completely committed,-1
faculty use advanced metedologies to deal with class,1
Too worst,-1
faculty is experinced to control the class,0
faculty is not intrested to take classes,0
faculty delaing is extraordinary,0
Worst,-1
faculty not maintained the class,0
faculty is not good in maintainance,-1
factulty need to improve to maintain class,1
Bad,-1
faculty is not good to maintain,-1
faculty need to control the class,0
faculty not controlled,0
Worst,-1
faculty use advanced metedologies to deal with class,1
faculty not maintained the class,0
Too worst,-1
faculty not controlled,0
faculty deal with the class nice,1
Filthy,0
faculty is passionate ,1
faculty lack communication skills and programming skills,-1
Too worst,-1
faculty are well versed with topics,1
Filthy,0
faculty cannot control class,0
TOO WORST,-1
Faculty handles the class with dignity,1
faculty is experinced to control the class,0
Bad,-1
tooooo worssttttt,-1
superrrrrrr,1
omg,0
ok but worst,0
improve it y'all,0
